feature,phase,family,cohens_d,abs_d,r_pb,r_cont_est,r_pearson,p_pearson,rho_spearman,p_spearman,p_ttest,view,target,q_fdr_pearson,q_fdr_ttest,sig_fdr_05
1-SHOULDER-LOC,1,SHOULDER-LOC,0.25883856072152095,0.25883856072152095,0.12847716183768243,0.1610483055528296,0.08117885114470968,0.04470045987306961,0.2622384095937249,4.403398467327857e-11,0.041645303116495905,FACEON,AbsDir,0.09881154287731177,0.0884897504844061,0
2-HEAD-LOC,2,HEAD-LOC,0.21195474701705208,0.21195474701705208,0.10509508087214618,0.1317384697350351,0.014507973492715426,0.7199794463678316,0.05328922507161754,0.18763001108782212,0.09641889442706533,FACEON,AbsDir,0.8361051635239335,0.1814930037767104,0
2-HIP-ROTATION,2,HIP-ROTATION,0.06046162399304749,0.06046162399304749,0.030312705515385185,0.03799749146188609,0.03356234926596511,0.40682019281613435,0.08794611465748134,0.02946421348135242,0.6320012878809027,FACEON,AbsDir,0.5695482699425881,0.7367784153072051,0
2-HIP-SHIFTED,2,HIP-SHIFTED,0.07977903054325994,0.07977903054325994,0.03954606100938552,0.049571659474364094,0.018992242990029985,0.6393991489446514,-0.27703609347235697,3.152284200198895e-12,0.5326173051407584,FACEON,AbsDir,0.7783989639326191,0.6744701552536237,0
2-LEFT-ARM-ANGLE,2,LEFT-ARM-ANGLE,-0.44195973426805296,0.44195973426805296,-0.21696322813060767,-0.2719670932788149,-0.2024115651009029,4.4295004916396234e-07,-0.2736923664920919,5.622700765076639e-12,0.0005248129517152807,FACEON,AbsDir,3.016848983495095e-06,0.0015559160450853027,1
2-SHOULDER-LOC,2,SHOULDER-LOC,0.353313485813409,0.353313485813409,0.17444843410397162,0.21867407652018123,0.12309124469875378,0.002303789595393317,0.24716417030034762,5.890265518902301e-10,0.005591115082899014,FACEON,AbsDir,0.007079938756574584,0.014525371143201562,1
2-UPPER-TILT,2,UPPER-TILT,-0.20696860058726535,0.20696860058726535,-0.10344475076522923,-0.12966975290225213,-0.07248778991300499,0.07290738476886152,-0.05608727779365392,0.1654682015214079,0.10134954238294351,FACEON,AbsDir,0.1481666206592992,0.18779474029780707,0
3-HEAD-LOC,3,HEAD-LOC,0.14243469192964367,0.14243469192964367,0.07073876107935854,0.08867223906401518,0.005325830681736435,0.8953913757658658,0.0276698801421687,0.4944511392716222,0.26378144891883676,FACEON,AbsDir,0.9250003257351673,0.3956721733782551,0
3-HIP-ROTATION,3,HIP-ROTATION,-0.08740982337659034,0.08740982337659034,-0.04390751115939266,-0.055038811350735704,-0.01412793799196338,0.7270181504297142,-0.01322377884510855,0.7438559106221567,0.4877657153297785,FACEON,AbsDir,0.836376896492027,0.6401925013703343,0
3-HIP-SHIFTED,3,HIP-SHIFTED,0.05038136126236897,0.05038136126236897,0.024774128088333885,0.031054790541027603,0.0038543251560601254,0.9245014490844714,-0.3448149090516878,2.18107098942676e-18,0.6982032331159196,FACEON,AbsDir,0.9470502649157999,0.7890009629830123,0
3-RIGHT-LEG-ANGLE,3,RIGHT-LEG-ANGLE,-0.2239745329854979,0.2239745329854979,-0.1117977273248369,-0.14014035096034813,-0.0534856027338583,0.18600664292535432,-0.09102709141864762,0.024208401128826017,0.07648382887506744,FACEON,AbsDir,0.3188685307291788,0.150577538097789,0
3-SHOULDER-LOC,3,SHOULDER-LOC,0.18308763538934822,0.18308763538934822,0.09064239068792564,0.11362177699715077,0.15286175323891277,0.00015067240079585811,0.24123572585862055,1.587487579731041e-09,0.1528473912729689,FACEON,AbsDir,0.0005667081343366604,0.25340488553150103,1
4-HEAD-LOC,4,HEAD-LOC,0.012765421950669148,0.012765421950669148,0.0063671604438936425,0.007981343812432483,-0.010562258754022221,0.7941057999780282,-0.07790770412508921,0.053867801913547446,0.9199137640476225,FACEON,AbsDir,0.8700637460628831,0.9461970144489832,0
4-HIP-HANGING-BACK,4,HIP-HANGING-BACK,0.18339580522161938,0.18339580522161938,0.09240858339163673,0.11583572956384745,0.042957545950343505,0.2882818760742345,0.253444273940337,1.935023243549641e-10,0.14406745299665902,FACEON,AbsDir,0.42916684172842806,0.2453040415889059,0
4-HIP-ROTATION,4,HIP-ROTATION,-0.07647674595195621,0.07647674595195621,-0.03845201626845336,-0.0482002558007002,-0.013617150904003332,0.7365147498672693,0.12998039363272332,0.0012584635189546035,0.5434712212851427,FACEON,AbsDir,0.839826773604307,0.676461210556812,0
4-HIP-SHIFTED,4,HIP-SHIFTED,0.07683551410733079,0.07683551410733079,0.03808977349258837,0.04774617832562712,0.01623685095894119,0.6885064546286678,-0.3001685199803486,3.294129124196125e-14,0.547814204013098,FACEON,AbsDir,0.8131290753460553,0.676461210556812,0
4-RIGHT-ARMPIT-ANGLE,4,RIGHT-ARMPIT-ANGLE,0.26308333423256824,0.26308333423256824,0.13086741558815707,0.16404452924620144,0.07755776591008803,0.054957469171079604,0.06952524759496512,0.08544471288411845,0.03789229963440687,FACEON,AbsDir,0.11939036406131086,0.08178177180144569,0
4-SHOULDER-HANGING-BACK,4,SHOULDER-HANGING-BACK,0.06296728706834409,0.06296728706834409,0.031908664312337784,0.039998052933706854,0.058921218307347104,0.14508618473365528,0.2504355898474498,3.2092728842500445e-10,0.6144579009632805,FACEON,AbsDir,0.2688361658300083,0.7269642771959938,0
5-HEAD-LOC,5,HEAD-LOC,0.0076588718418178076,0.0076588718418178076,0.003819277931953666,0.004787529788006628,-0.008165143494969274,0.8408890967046975,-0.03640396618154695,0.3706021378422042,0.9522971934139712,FACEON,AbsDir,0.9017193717854628,0.9676568255658096,0
5-HIP-HANGING-BACK,5,HIP-HANGING-BACK,0.23883144527832698,0.23883144527832698,0.11906815499302889,0.149253955587496,0.010970882715073965,0.7868424005896497,0.1131749618688764,0.0051344047623899085,0.06064302379981925,FACEON,AbsDir,0.8700637460628831,0.1212860475996385,0
5-HIP-SHIFTED,5,HIP-SHIFTED,0.10482833109737584,0.10482833109737584,0.05203189945487315,0.06522287013538901,0.03731007154087128,0.35801002011892485,-0.127727279589004,0.0015857555086736881,0.4144564639580893,FACEON,AbsDir,0.5155344289712518,0.5585188712162488,0
5-LEFT-ARM-ANGLE,5,LEFT-ARM-ANGLE,0.13694030182600112,0.13694030182600112,0.06879110255307701,0.08623081600511037,-0.012548722487997974,0.7570879624280593,0.00905760866672281,0.823339255467508,0.2796360700559139,FACEON,AbsDir,0.8555433476765514,0.4145193509064135,0
